page_url,image_url,name,rank,faculty
http://its.iust.ac.ir/profile/bayati,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,محسن فتح اله بیاتی,استاديار,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/mahfathy,https://its.iust.ac.ir/sites/default/files/pictures/picture-759-1902684065.jpg,دکتر محمود فتحی,استاد,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/fathian,https://its.iust.ac.ir/sites/default/files/pictures/picture-413-226924043.jpg,دکتر محمد فتحیان بروجنی,استاد,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/farajollahi,https://its.iust.ac.ir/sites/default/files/userpics/picture-25345-1539530565.jpg,دکتر میثم فرج الهی,استاديار,دانشکده فناوريهای نوين
http://its.iust.ac.ir/profile/hasanfarrokhzad,https://its.iust.ac.ir/sites/default/files/userpics/picture-58565-1614515597.jpg,حسن فرخ زاد,استاديار,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/farrokhi,https://its.iust.ac.ir/sites/default/files/userpics/picture-405-1531645970_0.jpg,دکتر محمد فرخی,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/fardad,https://its.iust.ac.ir/sites/default/files/pictures/picture-401-849058869.jpg,عباسعلی فرداد,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/farshad,https://its.iust.ac.ir/sites/default/files/pictures/picture-406-399436912.jpg,دکتر سیامک فرشاد,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/farshi,https://its.iust.ac.ir/sites/default/files/pictures/picture-407-899988360.jpg,بهروز فرشی,نا مشخص,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/h_farman,https://its.iust.ac.ir/sites/default/files/pictures/picture-476-703482343.jpg,دکتر حسین فرمان,استاد,دانشکده فيزيک
http://its.iust.ac.ir/profile/rfarnoosh,https://its.iust.ac.ir/sites/default/files/pictures/picture-1032-2024766817.jpg,دکتر رحمان فرنوش,استاد,دانشکده رياضي
http://its.iust.ac.ir/profile/hfarhady,https://its.iust.ac.ir/sites/default/files/pictures/picture-533-896371398.jpg,حسین فرهادی,نا مشخص,گروه آموزشي زبانهاي خارجي
http://its.iust.ac.ir/profile/shahrokhf,https://its.iust.ac.ir/sites/default/files/userpics/picture-26641-1539530565.jpg,دکتر شاهرخ فرهمند,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/jamfar,https://its.iust.ac.ir/sites/default/files/userpics/picture-596-1531555641_0.jpg,جمشید فریبرز,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/mfasihi,https://its.iust.ac.ir/sites/default/files/pictures/picture-7919-477975135.jpg,دکتر محمد فصیحی دستجردی,دانشيار,دانشکده مهندسي شيمي، نفت و گاز
