citation_per_article,documents,academic_rank,faculty,name,url,g_index,h_index
۸/۳۷,۱۰۵,دانشیار,مهندسی برق,علی صدر,https://scimet.iust.ac.ir/Ali_Sadr,۲۴,۱۴
۶/۶۴,۱۲۶,دانشیار,مهندسی برق,محمدعظیم کرمی,https://scimet.iust.ac.ir/Mohammad_AzimKarami,۲۲,۱۴
۱۱,۷۵,دانشیار,مهندسی کامپیوتر,زینب موحدی,https://scimet.iust.ac.ir/Zeinab_Movahedi,۲۷,۱۴
۱۶/۵۴,۴۶,استادیار,مهندسی برق,سیدعلیرضا نظام الحسینی عزآبادی,https://scimet.iust.ac.ir/SeyedAlireza_Nezamalhosseini,۲۷,۱۴
۱۹/۸۶,۳۷,استادیار,مهندسی برق,شاهرخ فرهمند,https://scimet.iust.ac.ir/Shahrokh_Farahmand,۲۷,۱۴
۹/۳۶,۷۴,دانشیار,مهندسی کامپیوتر,حسن نادری,https://scimet.iust.ac.ir/Hassan_Naderi,۲۵,۱۴
۱۲/۱۶,۵۳,دانشیار,مهندسی برق,فرزان حدادی,https://scimet.iust.ac.ir/Farzan_Haddadi,۲۴,۱۴
۸/۰۸,۷۳,دانشیار,مهندسی برق,سعید شمقدری,https://scimet.iust.ac.ir/Saeed_Shamaghdari,۲۰,۱۴
۱۷/۲۳,۳۰,استادیار,مهندسی عمران,وحید تمیمی,https://scimet.iust.ac.ir/Vahid_Tamimi,۲۲,۱۴
۱۲/۴,۴۰,استادیار,مهندسی عمران,حسین علیزاده,https://scimet.iust.ac.ir/Hossein_Alizadeh,۲۱,۱۴
۱۲/۳۴,۳۸,استادیار,فیزیک,مریم بحرینی,https://scimet.iust.ac.ir/Maryam_Bahreini,۲۱,۱۴
۸/۳۷,۱۳۵,استاد,مهندسی معماری و شهرسازی,فاطمه مهدیزاده سراج,https://scimet.iust.ac.ir/Fatemeh_MehdizadehSeraj,۳۱,۱۳
۲۱/۰۴,۴۲,استادیار,مهندسی شیمی، نفت و گاز,امین بازیاری,https://scimet.iust.ac.ir/Amin_Bazyari,۲۹,۱۳
۸/۴۸,۸۵,دانشیار,ریاضی,اکبر دهقان نژاد,https://scimet.iust.ac.ir/Akbar_Dehghannezhad,۲۶,۱۳
۱۴/۷۷,۴۸,استادیار,مهندسی برق,جواد یاوندحسنی,https://scimet.iust.ac.ir/Javad_YavandHasani,۲۶,۱۳
۱۷/۳۵,۴۰,دانشیار,مهندسی راه آهن,حبیب اله ملاطفی,https://scimet.iust.ac.ir/Habibollah_Molatefi,۲۶,۱۳
۲/۸۲,۲۲۱,دانشیار,مهندسی معماری و شهرسازی,رضا خیرالدین,https://scimet.iust.ac.ir/Reza_Kheyroddin,۲۰,۱۳
۱۱/۲۴,۵۳,استادیار,مهندسی مواد و متالورژی,امیرمحمود بخشایش,https://scimet.iust.ac.ir/Amirmahmoud_Bakhshayesh,۲۴,۱۳
۶/۹۲,۸۳,دانشیار,مهندسی مکانیک,امیرمهدی تحسینی,https://scimet.iust.ac.ir/Amirmahdi_Tahsini,۲۰,۱۳
۱۹/۶۸,۲۹,دانشیار,مهندسی شیمی، نفت و گاز,فرشته نعیم پور,https://scimet.iust.ac.ir/Fereshteh_Naeimpoor,۲۳,۱۳
۱۲/۹۷,۴۳,استادیار,مهندسی مواد و متالورژی,مریم تاج آبادی,https://scimet.iust.ac.ir/Maryam_Tajabadi,۲۳,۱۳
۱۱/۰۸,۴۸,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,مهرداد آقا محمدعلی کرمانی,https://scimet.iust.ac.ir/Mehrdad_AghaMohammadAliKermani,۲۲,۱۳
۱۳/۴۳,۳۹,دانشیار,فیزیک,فاطمه دباغ کاشانی,https://scimet.iust.ac.ir/Fatemeh_DabbaghKashani,۲۲,۱۳
۱۴/۶۳,۳۳,دانشیار,مهندسی راه آهن,شروان عطایی,https://scimet.iust.ac.ir/Shervan_Ataei,۲۱,۱۳
۷/۸۴,۵۷,دانشیار,مهندسی شیمی، نفت و گاز,مهدی عصاره,https://scimet.iust.ac.ir/Mehdi_Assareh,۱۹,۱۳
۶/۶۷,۶۵,استادیار,مهندسی کامپیوتر,حسین رحمانی,https://scimet.iust.ac.ir/Hossein_Rahmani,۱۸,۱۳
۲۳/۶۶,۴۲,استادیار,فناوری های نوین,میثم فرج الهی,https://scimet.iust.ac.ir/Maisam_Farajollahi,۳۱,۱۲
۲۲/۵۱,۳۷,استادیار,مهندسی صنایع,احسان دهقانی برسیانی,https://scimet.iust.ac.ir/Ehsan_Dehghani,۲۸,۱۲
۱۷/۴۷,۴۴,استادیار,مهندسی برق,سیدمجید اسماعیل زاده,https://scimet.iust.ac.ir/SeyedMajid_Esmaeilzadeh,۲۷,۱۲
۴/۲۱,۱۷۱,دانشیار,مهندسی معماری و شهرسازی,مهدی خاک زند,https://scimet.iust.ac.ir/Mahdi_Khakzand,۲۲,۱۲
۲۷/۴۶,۲۶,استادیار,مهندسی شیمی، نفت و گاز,حسین فاضلی,https://scimet.iust.ac.ir/Hossein_Fazeli,۲۶,۱۲
۱۰/۷۱,۶۰,استادیار,مهندسی عمران,محسن صابرماهانی,https://scimet.iust.ac.ir/Mohsen_SaberMahani,۲۴,۱۲
۱۹/۲,۳۰,استادیار,مهندسی عمران,مریم حسنی زنوزی,https://scimet.iust.ac.ir/Maryam_HasaniZonoozi,۲۳,۱۲
۱۹/۷۹,۲۹,استادیار,مهندسی مکانیک,محمدجواد اشرفی حبیب آبادی,https://scimet.iust.ac.ir/MohammadJavad_AshrafiHabibabadi,۲۳,۱۲
۹/۵۳,۶۰,استادیار,مهندسی عمران,عبدالرضا شیخ الاسلامی کندلوس,https://scimet.iust.ac.ir/Abdolreza_Sheikholeslami,۲۳,۱۲
۱۹/۵۵,۲۹,استادیار,فیزیک,رضوانه امراللهی بیوکی,https://scimet.iust.ac.ir/Rezvaneh_Amrollahi,۲۳,۱۲
۹/۵۹,۵۷,دانشیار,فیزیک,امیرحسین احمدخان کردبچه,https://scimet.iust.ac.ir/AmirHossein_AhmadkhanKordbacheh,۲۳,۱۲
۲۰/۸۸,۲۶,استادیار,فناوری های نوین,روح الله رحمانی فرد,https://scimet.iust.ac.ir/Roohollah_Rahmanifard,۲۳,۱۲
۱۱/۰۴,۴۸,استادیار,مهندسی مواد و متالورژی,هاجر قنبری,https://scimet.iust.ac.ir/Hajar_Ghanbari,۲۲,۱۲
۷/۳۶,۶۳,دانشیار,مهندسی عمران,مرتضی رئیسی دهکردی,https://scimet.iust.ac.ir/Morteza_RaissiDehkordi,۱۹,۱۲
۱۳/۲۴,۲۹,استادیار,مهندسی کامپیوتر,عیسی زارع پور,https://scimet.iust.ac.ir/Eisa_Zarepour,۱۹,۱۲
۹/۹۶,۳۱,دانشیار,ریاضی,رضا احمدی,https://scimet.iust.ac.ir/Reza_Ahmadi,۱۷,۱۲
۳۸/۵,۲۶,استادیار,فیزیک,بابک زارع رمشتی,https://scimet.iust.ac.ir/Babak_ZareRameshti,۲۵,۱۱
۱۲/۱۶,۵۰,دانشیار,مهندسی صنایع,محمدرضا رسولی,https://scimet.iust.ac.ir/Mohammadreza_Rasouli,۲۳,۱۱
۱۴/۴۳,۳۷,استادیار,مهندسی مکانیک,محمد شهبازی اغبلاغ,https://scimet.iust.ac.ir/Mohammad_Shahbazi,۲۲,۱۱
۱۱/۱۸,۴۳,استادیار,مهندسی راه آهن,حمیدرضا احدی,https://scimet.iust.ac.ir/Hamidreza_Ahadi,۲۱,۱۱
۱۱/۴۲,۴۲,استادیار,مهندسی کامپیوتر,سیدوحید ازهری,https://scimet.iust.ac.ir/SeyedVahid_Azhari,۲۱,۱۱
۲/۹۷,۱۶۱,استادیار,مهندسی معماری و شهرسازی,مهدی حمزه نژاد,https://scimet.iust.ac.ir/Mahdi_Hamzenejad,۱۹,۱۱
۸/۴۶,۵۴,استادیار,مهندسی راه آهن,سیدعلی مسیبی,https://scimet.iust.ac.ir/SeyedAli_Mosayebi,۱۹,۱۱
۹/۹۳,۴۴,استادیار,مهندسی شیمی، نفت و گاز,سیدمجتبی حسینی نسب,https://scimet.iust.ac.ir/SeyedMojtaba_HosseiniNasab,۲۰,۱۱
۹/۱۵,۴۴,استادیار,مهندسی خودرو,علی قاسمیان مقدم,https://scimet.iust.ac.ir/Ali_Ghasemian,۱۹,۱۱
۸/۷۹,۴۴,استادیار,مهندسی برق,سعید عباداللهی,https://scimet.iust.ac.ir/Saeed_Ebadollahi,۱۹,۱۱
۵/۶۳,۶۶,دانشیار,مدیریت، اقتصاد و مهندسی پیشرفت,یاسر سبحانی فرد,https://scimet.iust.ac.ir/Yaser_Sobhanifard,۱۸,۱۱
۷/۱۳,۴۳,استادیار,فیزیک,شهاب نوروزیان علم,https://scimet.iust.ac.ir/Shahab_NorouzianAlam,۱۷,۱۱
۱۱/۹۶,۲۵,استادیار,فیزیک,ذبیح اله ذبیحی لهرمی,https://scimet.iust.ac.ir/Zabiholah_ZabihiLahrami,۱۷,۱۱
۱۵/۵۹,۳۲,استادیار,مهندسی شیمی، نفت و گاز,حسن فرخ زاد,https://scimet.iust.ac.ir/Hasan_Farrokhzad,۲۲,۱۰
۱۲/۳۵,۳۴,استادیار,مهندسی راه آهن,حمیدرضا حیدری نوقابی,https://scimet.iust.ac.ir/HamidReza_Heydari,۲۰,۱۰
۲۴/۴۱,۱۷,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,سیدمیعاد صالحی,https://scimet.iust.ac.ir/SM_Salehi,۱۷,۱۰
۶/۸,۶۰,دانشیار,ریاضی,سیده محبوبه مولوی عربشاهی,https://scimet.iust.ac.ir/SeyedMahboubeh_MolaviArabshahi,۱۹,۱۰
۱۴/۸۸,۲۶,استادیار,مهندسی شیمی، نفت و گاز,سروش برادران,https://scimet.iust.ac.ir/Soroush_Baradaran,۱۹,۱۰
۶/۵۴,۵۹,دانشیار,مهندسی معماری و شهرسازی,احمد اخلاصی,https://scimet.iust.ac.ir/Ahmad_Ekhlassi,۱۸,۱۰
۲۲/۶۴,۱۷,استادیار,مهندسی راه آهن,علیرضا طلوع کیان,https://scimet.iust.ac.ir/AliReza_TolouKian,۱۷,۱۰
۶/۸۵,۵۵,دانشیار,فیزیک,مهدی شایگان منش,https://scimet.iust.ac.ir/Mahdi_Shayganmanesh,۱۸,۱۰
۹/۱۷,۴۱,استادیار,مهندسی برق,حسین سلیمانی,https://scimet.iust.ac.ir/Hossein_Soleimani,۱۸,۱۰
۱۱/۳۱,۲۹,استادیار,مهندسی معماری و شهرسازی,میترا غفوریان,https://scimet.iust.ac.ir/Mitra_Ghafourian,۱۷,۱۰
۵/۰۳,۶۰,دانشیار,فیزیک,افشین نمیرانیان,https://scimet.iust.ac.ir/Afshin_Namiranian,۱۴,۱۰
۵/۳۴,۴۹,استادیار,ریاضی,مرتضی گرشاسبی,https://scimet.iust.ac.ir/Morteza_Garshasbi,۱۳,۱۰
۱۰/۰۶,۵۸,استادیار,مهندسی کامپیوتر,سیدصالح اعتمادی,https://scimet.iust.ac.ir/SeyedSauleh_Eetemadi,۲۳,۹
۸/۰۴,۶۹,دانشیار,مدیریت، اقتصاد و مهندسی پیشرفت,سعید شوال پور,https://scimet.iust.ac.ir/Saeed_Shavvalpour,۲۲,۹
۳۰/۶۴,۱۴,استادیار,مهندسی عمران,حسن ملکی تبار,https://scimet.iust.ac.ir/Hassan_Malekitabar,۱۴,۹
۴/۶۷,۸۹,استاد,مهندسی معماری و شهرسازی,مهران علی الحسابی,https://scimet.iust.ac.ir/Mehran_Alalhesabi,۱۸,۹
۶/۳۸,۶۳,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,امیر ذاکری,https://scimet.iust.ac.ir/Amir_Zakery,۱۹,۹
۷/۷۶,۴۲,استادیار,مهندسی مکانیک,رضوان عابدینی,https://scimet.iust.ac.ir/Rezvan_Abedini,۱۷,۹
۶/۵۴,۴۶,استادیار,مهندسی مکانیک,زینب پورانصاری,https://scimet.iust.ac.ir/Zeynab_Pouransari,۱۶,۹
۹/۴۸,۲۵,استادیار,فیزیک,محمد واحدی,https://scimet.iust.ac.ir/Mohammad_Vahedi,۱۴,۹
۱۹/۵,۴۴,استادیار,مهندسی معماری و شهرسازی,هانیه صنایعیان,https://scimet.iust.ac.ir/Hanieh_Sanageayan,۲۹,۸
۲۲/۶۲,۲۷,استادیار,مهندسی کامپیوتر,ابوالفضل دیانت,https://scimet.iust.ac.ir/Abolfazl_Diyanat,۲۴,۸
۱۹/۳۹,۲۸,استادیار,مهندسی صنایع,وحید خطیبی,https://scimet.iust.ac.ir/Vahid_Khatibi,۲۳,۸
۱۴/۴۲,۲۸,استادیار,مهندسی برق,احسان دارستانی فراهانی,https://scimet.iust.ac.ir/Ehsan_FarahaniDarestani,۲۰,۸
۱۳/۲,۲۵,دانشیار,فیزیک,همایون اشراقی,https://scimet.iust.ac.ir/Homayoon_Eshraghi,۱۸,۸
۱۱/۵۱,۲۷,استادیار,فیزیک,محمدرضا جعفرفرد,https://scimet.iust.ac.ir/MohammadReza_Jafarfard,۱۷,۸
۷/۵۵,۳۴,دانشیار,مهندسی راه آهن,مجید شهروی,https://scimet.iust.ac.ir/Majid_Shahravi,۱۵,۸
۱۱/۱۳,۲۳,استادیار,فیزیک,روح الله حاجی عبدالوهاب,https://scimet.iust.ac.ir/Rouhollah_HajAbdolvahab,۱۵,۸
۱۴/۲۹,۱۷,استادیار,زبان,اکرم نیرنیا,https://scimet.iust.ac.ir/Akram_Nayernia,۱۵,۸
۱۳/۲۷,۱۸,استادیار,مهندسی مواد و متالورژی,روح اله خسروشاهی,https://scimet.iust.ac.ir/Rouhollah_Khosroshahi,۱۵,۸
۸/۶۸,۲۵,استادیار,مهندسی عمران,پدرام قادری,https://scimet.iust.ac.ir/Pedram_Ghaderi,۱۴,۸
۱۰/۶۱,۱۳,استادیار,مهندسی برق,نوید فهیمی,https://scimet.iust.ac.ir/Navid_Fahimi,۱۱,۸
۳/۸,۳۵,استادیار,مهندسی معماری و شهرسازی,مهشید قربانیان,https://scimet.iust.ac.ir/Mahshid_Ghorbanian,۱۰,۸
۷/۱۷,۵۷,دانشیار,مهندسی معماری و شهرسازی,ناصر کلینی ممقانی,https://scimet.iust.ac.ir/Naser_Koleini,۱۹,۷
